"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.191202750E0,-1.311422882E0,1.087264023E1,1.359622650E0
1.201212750E0,-1.129850464E0,1.101065323E1,8.940907288E-1
1.211222750E0,-9.657916260E-1,1.101963455E1,6.345304871E-1
1.221232750E0,-7.156617737E-1,1.098805023E1,6.951544189E-1
1.231242750E0,-5.234614563E-1,1.102158051E1,1.113684082E0
1.241252750E0,-4.222718811E-1,1.104463257E1,1.750310211E0
1.251262750E0,-4.893324280E-1,1.099942657E1,2.076631622E0
1.261272750E0,-5.899232483E-1,1.102801712E1,1.985471191E0
1.271282750E0,-7.075785828E-1,1.114282837E1,1.895358582E0
1.281292750E0,-5.278024292E-1,1.116812576E1,1.388662262E0
1.291302750E0,-4.535568237E-1,1.086530548E1,1.011746063E0
1.301312750E0,-6.571334839E-2,1.098640366E1,1.020727386E0
1.311322750E0,3.421884155E-1,1.111423782E1,1.240021362E0
1.321332750E0,6.117778015E-1,1.107142685E1,1.400337982E0
1.331342750E0,9.672885132E-1,1.143097916E1,1.468446350E0
1.341352750E0,4.962181091E-1,1.104837479E1,1.838327179E0
1.351362750E0,1.558259583E-1,1.091335556E1,1.776954803E0
1.361371750E0,4.340972900E-2,1.091829529E1,1.457519073E0
1.371381750E0,-6.915618896E-2,1.080318466E1,1.014290771E0
1.381391750E0,3.248245239E-2,1.077983322E1,8.725355530E-1
1.391401750E0,2.210902405E-1,1.092009155E1,1.047970734E0
1.401411750E0,3.462300110E-1,1.101274887E1,1.343456268E0
1.411421750E0,3.167413330E-1,1.092877350E1,1.668729858E0
1.421431750E0,2.418969727E-1,1.093625793E1,1.796564026E0
1.431441750E0,6.406677246E-2,1.089254883E1,1.622775421E0
1.441451750E0,-7.259902954E-2,1.074031540E1,1.055754547E0
1.451461750E0,-5.807922363E-2,1.067415298E1,6.815327454E-1
1.461471750E0,-2.754272461E-2,1.064062271E1,8.083190918E-1
1.471481750E0,8.143066406E-2,1.056996964E1,1.091979218E0
1.481491750E0,3.881428528E-1,1.046803162E1,1.229692841E0
1.491501750E0,6.523434448E-1,1.052805679E1,1.511107635E0
1.501511750E0,5.393284607E-1,1.026565247E1,1.721719666E0
1.511521750E0,5.218148804E-1,1.022059616E1,1.359472961E0
1.521531750E0,5.834866333E-1,1.028421387E1,8.255332947E-1
1.531541750E0,6.265969849E-1,1.019395157E1,1.821711731E-1
1.541551750E0,7.119195557E-1,1.016625916E1,-3.827540588E-1
1.551561750E0,6.447093201E-1,1.007584717E1,-5.962101746E-1
1.561571750E0,5.737568665E-1,9.979597321E0,-3.370989990E-1
1.571581750E0,5.463638306E-1,9.909692688E0,-1.007405090E-1
1.581591750E0,5.575904846E-1,9.811047821E0,7.738906860E-2
1.591601750E0,6.179150391E-1,9.739047546E0,1.094224548E-1
1.601611750E0,8.726852417E-1,9.694739685E0,-8.696914673E-2
1.611621750E0,1.233884125E0,9.740095367E0,-5.011578369E-1
1.621631750E0,1.577120361E0,9.679471436E0,-8.518785095E-1
1.631641750E0,1.795366516E0,9.639803925E0,-9.737251282E-1
1.641650750E0,1.683549042E0,9.621392212E0,-7.578739929E-1
1.651660750E0,1.185834045E0,9.517807617E0,-4.382885742E-1
1.661670750E0,6.956034851E-1,9.363328857E0,-5.213658142E-1
1.671680750E0,3.555107117E-1,9.406289520E0,-7.209008789E-1
1.681690750E0,1.481918335E-1,9.410181427E0,-1.134341125E0
1.691700750E0,2.869532776E-1,9.457333374E0,-1.785786438E0
1.701710750E0,7.436535645E-1,9.562863922E0,-2.046843567E0
1.711720750E0,1.144370270E0,9.539512482E0,-1.805545349E0
1.721730750E0,1.573677521E0,9.448202362E0,-1.428329773E0
1.731740750E0,1.948498077E0,9.443562012E0,-8.744815063E-1
1.741750750E0,2.072739716E0,9.530531158E0,-4.707710266E-1
1.751760750E0,2.213596802E0,9.957892456E0,-3.429368591E-1
1.761770750E0,1.261426849E0,9.168434143E0,-2.225871277E-1
1.771780750E0,1.089733887E0,9.252858582E0,-7.240443420E-1
1.781790750E0,1.077309723E0,9.403146057E0,-1.092128906E0
1.791800750E0,9.653425598E-1,9.379345551E0,-1.069675598E0
1.801810750E0,8.587641907E-1,9.471703491E0,-8.506809998E-1
1.811820750E0,8.879534912E-1,9.461225281E0,-8.337661743E-1
1.821830750E0,1.078357544E0,9.512418823E0,-1.017733612E0
1.831840750E0,1.226100311E0,9.520052948E0,-1.234482880E0
1.841850750E0,1.199156342E0,9.445957031E0,-1.548529816E0
1.851860750E0,1.023272095E0,9.403894501E0,-1.565744019E0
1.861870750E0,7.478448486E-1,9.335486755E0,-1.412462769E0
1.871880750E0,4.975653076E-1,9.363328857E0,-1.352287903E0
1.881890750E0,2.939886475E-1,9.398206329E0,-1.333726501E0
1.891900750E0,3.616479492E-1,9.417965240E0,-1.638193359E0
1.901910750E0,5.101391602E-1,9.408684540E0,-1.999092865E0
1.911920750E0,7.185058594E-1,9.258546753E0,-2.097438354E0
1.921930750E0,9.410929871E-1,9.138945465E0,-1.935026093E0
1.931939750E0,1.015637970E0,9.010362854E0,-1.741328888E0
1.941949750E0,1.246457977E0,8.844358063E0,-1.872156830E0
1.951959750E0,1.627116394E0,8.825497284E0,-1.954036560E0
1.961969750E0,1.819466400E0,8.832981720E0,-1.795067139E0
1.971979750E0,1.592687988E0,8.727750549E0,-1.583556976E0
1.981989750E0,1.122366028E0,8.663983154E0,-1.315165100E0
1.991999750E0,4.939727783E-1,8.550968170E0,-1.435664520E0
2.002010333E0,2.037263489E-1,8.502019958E0,-1.911375275E0
2.012020333E0,1.848655701E-1,8.556656342E0,-2.330803070E0
2.022030333E0,1.814227295E-1,8.386460266E0,-2.503244476E0
