"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.081543292E0,4.229471087E-2,-6.844541430E-1,2.607820928E-2
1.091553292E0,-8.683744073E-2,-6.892703772E-1,1.290696301E-2
1.101563292E0,-1.605481505E-1,-6.996164918E-1,1.792595722E-2
1.111573292E0,-1.570799202E-1,-6.353728175E-1,8.832275122E-2
1.121582292E0,-1.270474494E-1,-5.518385172E-1,1.724261791E-1
1.131592292E0,-1.118889824E-1,-5.235165954E-1,2.152596712E-1
1.141602292E0,-1.291491836E-1,-5.066888928E-1,2.004740685E-1
1.151612292E0,-1.291339993E-1,-4.405067563E-1,1.260659397E-1
1.161622292E0,-7.453573495E-2,-3.369270861E-1,1.446297858E-2
1.171632292E0,2.788460255E-2,-2.081351429E-1,-1.020418853E-1
1.181642292E0,1.830725819E-1,-1.121843830E-1,-1.842755079E-1
1.191652292E0,3.381306231E-1,-1.000441909E-1,-2.300224453E-1
1.201662292E0,4.231911898E-1,-1.393963993E-1,-2.411254197E-1
1.211672292E0,4.569111168E-1,-1.470903158E-1,-1.926251799E-1
1.221682292E0,4.329402745E-1,-1.668696404E-1,-1.293860227E-1
1.231692292E0,3.664198220E-1,-1.955163032E-1,-8.623385429E-2
1.241702292E0,3.225820661E-1,-1.701771319E-1,-7.379741967E-2
1.251712167E0,3.152653277E-1,-9.371941537E-2,-1.040863246E-1
1.261722167E0,3.441206515E-1,-3.210239857E-2,-1.583178639E-1
1.271732167E0,3.955904245E-1,8.238909766E-3,-2.021739185E-1
1.281742167E0,4.250154495E-1,5.099276453E-2,-2.019235790E-1
1.291751167E0,4.134666622E-1,1.278787851E-1,-1.843013167E-1
1.301761167E0,4.123175144E-1,1.359867752E-1,-3.243561089E-2
1.311771167E0,3.775813878E-1,8.201845735E-2,1.060628295E-1
1.321781167E0,3.480170965E-1,2.413305640E-2,2.024133205E-1
1.331791167E0,3.390177488E-1,2.991238423E-2,2.227508277E-1
1.341801167E0,3.732731938E-1,1.206683815E-1,1.572266668E-1
1.351811167E0,4.961727262E-1,1.803691536E-1,5.193199962E-2
1.361821167E0,6.629388332E-1,2.676537335E-1,-3.423804045E-2
1.371831167E0,8.022136092E-1,3.472988009E-1,-1.452055760E-2
1.381841167E0,8.715980053E-1,4.021596611E-1,8.425609022E-2
1.391851167E0,8.360815644E-1,3.769664764E-1,1.947383583E-1
1.401861167E0,7.216191888E-1,3.490096927E-1,3.079147041E-1
1.411871167E0,6.185489893E-1,3.776855469E-1,4.395800829E-1
1.421881167E0,5.656397343E-1,3.569712043E-1,5.950208306E-1
1.431891167E0,5.768915415E-1,2.890976965E-1,6.882261634E-1
1.441901167E0,5.895103812E-1,2.605225146E-1,6.845390201E-1
1.451911167E0,6.073150039E-1,2.853851318E-1,6.089323759E-1
1.461920167E0,6.269014478E-1,3.852467537E-1,4.799768031E-1
1.471930167E0,7.671488523E-1,4.520993531E-1,3.482372165E-1
1.481940167E0,9.716524482E-1,4.856154919E-1,2.527948618E-1
1.491950167E0,1.089872837E0,5.055152774E-1,2.487334907E-1
1.501960167E0,1.132651210E0,4.888756275E-1,3.325370550E-1
1.511970167E0,1.113300204E0,4.365979731E-1,4.511120617E-1
1.521980167E0,1.039979696E0,3.441047966E-1,4.567297101E-1
1.531990167E0,9.850646853E-1,3.017670810E-1,3.261629641E-1
1.542000167E0,9.859808087E-1,3.477113843E-1,9.362533689E-2
1.552010167E0,1.050666571E0,4.719389379E-1,-1.800854057E-1
1.562020167E0,1.204808831E0,6.229817271E-1,-3.614951372E-1
1.572030167E0,1.370834470E0,7.517578602E-1,-4.333911538E-1
1.582040167E0,1.513942599E0,8.962473869E-1,-4.078612924E-1
1.592050167E0,1.516588688E0,9.414154291E-1,-3.137840033E-1
1.602060167E0,1.458389640E0,9.785835743E-1,-2.110874355E-1
1.612070167E0,1.372013450E0,9.889017940E-1,-5.696416274E-2
1.622080167E0,1.229706645E0,9.412077665E-1,2.662287466E-2
1.632089167E0,1.035589337E0,7.758234739E-1,2.898475341E-2
1.642099167E0,8.745190501E-1,6.529452205E-1,-2.482814342E-2
1.652109167E0,7.535288930E-1,5.076387525E-1,-3.168319166E-2
1.662119167E0,6.119624376E-1,3.574718535E-1,-2.379996702E-2
1.672129167E0,4.781910777E-1,2.168873549E-1,-6.166575849E-2
1.682139167E0,4.741808772E-1,2.636399567E-1,-4.404681548E-2
1.692149167E0,6.364654303E-1,5.385564566E-1,1.071540825E-2
1.702159167E0,7.631602287E-1,7.900320888E-1,7.665048540E-2
1.712169167E0,7.088365555E-1,8.849455714E-1,1.825932562E-1
1.722179167E0,5.804069638E-1,8.514456749E-1,2.913823128E-1
1.732189167E0,4.373307228E-1,7.704339623E-1,3.463900387E-1
1.742199167E0,2.802862525E-1,6.833805442E-1,3.602110445E-1
1.752209167E0,1.669479609E-1,5.625813007E-1,3.202994764E-1
1.762219167E0,1.102724373E-1,4.562405050E-1,2.531385422E-1
1.772229167E0,1.681216359E-1,4.595884085E-1,2.206828743E-1
1.782239167E0,3.173683882E-1,4.846948087E-1,2.481397986E-1
1.792249167E0,4.793967903E-1,4.641667008E-1,3.273441195E-1
1.802259167E0,5.532810688E-1,3.921822608E-1,3.896982968E-1
1.812268167E0,4.703621864E-1,3.180127740E-1,3.596361578E-1
1.822278167E0,2.717321813E-1,2.958430350E-1,2.466313094E-1
1.832288167E0,9.186018258E-2,3.266873658E-1,8.398923278E-2
1.842298167E0,1.395952329E-2,3.253861368E-1,-1.111072898E-1
1.852308167E0,7.048936188E-2,3.017045856E-1,-2.918848693E-1
1.862318167E0,2.439935207E-1,3.039861321E-1,-4.280475080E-1
1.872328167E0,4.553675056E-1,3.170659542E-1,-4.947740734E-1
1.882338167E0,6.120737791E-1,3.453572392E-1,-5.076366067E-1
1.892348167E0,6.504928470E-1,3.652724624E-1,-5.151592493E-1
1.902358167E0,5.654261708E-1,3.543372452E-1,-5.129070282E-1
1.912368167E0,4.261372089E-1,3.399858177E-1,-4.919638336E-1
1.922378167E0,2.830825746E-1,2.852884829E-1,-4.400780201E-1
1.932388167E0,1.883265674E-1,2.203099281E-1,-4.034993649E-1
1.942398167E0,1.349403113E-1,1.037614718E-1,-3.385003805E-1
1.952408167E0,1.077182740E-1,6.166258454E-2,-2.717241049E-1
1.962418167E0,8.981756866E-2,4.116529599E-2,-2.465178072E-1
1.972428167E0,6.814203411E-2,3.023238108E-2,-2.936802506E-1
1.982438167E0,6.504265219E-2,1.025537103E-1,-3.659014702E-1
1.992448167E0,6.818836182E-2,1.984368861E-1,-4.818567336E-1
2.002457167E0,9.630388021E-2,3.086366057E-1,-6.749827862E-1
2.012467167E0,1.533840299E-1,4.162500501E-1,-8.338842988E-1
2.022477167E0,2.295714766E-1,4.499529004E-1,-9.022241831E-1
2.032487167E0,2.870070338E-1,4.201851785E-1,-8.842526674E-1
2.042497167E0,2.558533847E-1,3.298547268E-1,-7.862819433E-1
2.052507167E0,1.352257729E-1,2.810561061E-1,-6.087105274E-1
2.062517167E0,-2.025117353E-2,1.453997493E-1,-4.301567376E-1
2.072527167E0,-1.820491254E-1,5.898687989E-2,-3.100896180E-1
2.082537167E0,-3.085684478E-1,7.609476149E-2,-2.068540305E-1
2.092547167E0,-4.181258380E-1,1.329697669E-1,-1.381617785E-1
2.102557167E0,-5.161578655E-1,1.824635416E-1,-1.064174399E-1
2.112567167E0,-5.975524187E-1,1.814796180E-1,-1.121959388E-1
2.122577167E0,-6.048406363E-1,1.136052310E-1,-1.288761050E-1
2.132587167E0,-5.052527785E-1,-9.189825505E-2,-1.933693886E-1
2.142597167E0,-3.197912872E-1,-2.297448069E-1,-2.055179328E-1
2.152607167E0,-2.129889280E-1,-2.464719415E-1,-2.849028409E-1
2.162617167E0,-1.909597814E-1,-1.729372591E-1,-4.351032674E-1
2.172627167E0,-2.532761097E-1,1.535937935E-2,-5.934813619E-1
2.182637167E0,-3.537651896E-1,2.168307155E-1,-7.392026186E-1
2.192646167E0,-4.570748508E-1,3.578175604E-1,-8.443465233E-1
2.202656167E0,-5.280566216E-1,3.518640697E-1,-8.832076192E-1
2.212666167E0,-4.971061051E-1,2.113647163E-1,-8.657696247E-1
2.222676167E0,-4.124402404E-1,7.784555107E-2,-7.749848366E-1
2.232686167E0,-3.811561167E-1,-1.654622518E-2,-6.646993160E-1
2.242696167E0,-4.941681623E-1,-3.033953533E-2,-5.578889847E-1
2.252706042E0,-7.182382345E-1,-5.737105384E-2,-4.093147814E-1
2.262716042E0,-9.866553545E-1,-1.713654026E-3,-3.975542784E-1
2.272726042E0,-1.203163147E0,7.277846336E-2,-4.852328897E-1
2.282736042E0,-1.240528584E0,3.014134765E-1,-7.039913535E-1
