"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.390600167E0,-2.585423584E0,1.281410294E1,1.299298096E0
1.400610167E0,-2.483036499E0,1.281215698E1,5.998027039E-1
1.410620167E0,-2.460134125E0,1.264255966E1,5.183720398E-1
1.420630167E0,-2.628683624E0,1.238075409E1,8.598120117E-1
1.430640167E0,-2.313289490E0,1.216041229E1,1.004111938E0
1.440650167E0,-1.458566895E0,1.204919357E1,1.257385254E0
1.450660167E0,-7.797285461E-1,1.184112625E1,1.305135956E0
1.460669167E0,-3.468287659E-1,1.165162033E1,1.406325531E0
1.470679167E0,-1.652563477E-1,1.168500092E1,1.643881531E0
1.480689167E0,-3.710783386E-1,1.190324707E1,2.207908630E0
1.490699167E0,-9.839039612E-1,1.152393585E1,2.126927032E0
1.500709167E0,-1.650168457E0,1.103160965E1,1.417552185E0
1.510719167E0,-1.796713715E0,1.093311447E1,8.689430237E-1
1.520729167E0,-9.499246216E-1,1.076875626E1,2.083666992E-1
1.530739167E0,4.577481079E-1,1.093625793E1,-8.053253174E-2
1.540749167E0,1.483864288E0,1.082279388E1,2.466870117E-1
1.550759167E0,1.992356873E0,1.069316345E1,5.646258545E-1
1.560769167E0,1.647623749E0,1.047641418E1,1.096170502E0
1.570779167E0,8.452922058E-1,1.026460464E1,1.336720276E0
1.580789167E0,7.978408813E-2,1.005219635E1,1.110540619E0
1.590799167E0,-4.851411438E-1,9.919123077E0,5.028044128E-1
1.600809167E0,-6.631210327E-1,9.849817200E0,-5.906716919E-1
1.610819167E0,-8.327183533E-1,9.790989532E0,-8.869056702E-1
1.620829167E0,-6.800358582E-1,9.573042755E0,-1.329984283E0
1.630838167E0,-1.682501221E-1,9.223220215E0,-1.941762085E0
1.640848167E0,2.146536255E-1,8.973988495E0,-1.957778778E0
1.650858167E0,2.140548706E-1,8.645721130E0,-1.571132813E0
1.660868167E0,3.092568970E-1,8.374185791E0,-1.522034912E0
1.670878167E0,8.652008057E-1,8.165968781E0,-1.711391144E0
1.680888167E0,1.058598633E0,8.036038971E0,-1.143172760E0
1.690898167E0,2.972817993E-1,7.725883942E0,2.850073242E-1
1.700908167E0,4.096980286E-1,8.031847687E0,8.406518555E-1
1.710918167E0,1.064286804E-1,6.988367615E0,-1.179547119E-1
1.720928167E0,-3.487747192E-2,6.354136505E0,-1.088536377E0
1.730938167E0,5.364843750E-1,6.495592346E0,-1.280886383E0
1.740948167E0,1.089434509E0,6.322252808E0,-1.426982574E0
1.750958167E0,1.480271759E0,6.011798401E0,-1.153800659E0
1.760968167E0,1.649719391E0,5.546715546E0,-5.149291992E-1
1.770978167E0,1.425036621E0,5.028343506E0,2.661465454E-1
1.780988167E0,1.044078827E0,4.703968048E0,1.113235016E0
1.790998167E0,7.421566772E-1,4.526586914E0,1.118773499E0
1.801008167E0,9.651928711E-1,4.528383179E0,4.125421143E-1
1.811017167E0,1.799258423E0,4.973707123E0,-1.017284546E0
1.821027167E0,2.706970825E0,5.105433197E0,-2.310295715E0
1.831037167E0,3.185375977E0,5.056484985E0,-2.681374054E0
1.841047167E0,3.316353607E0,5.122198334E0,-2.175575867E0
1.851057167E0,3.011287994E0,5.314398651E0,-1.275048523E0
1.861067167E0,2.446662140E0,5.591771851E0,-3.652404785E-1
1.871077167E0,1.672771454E0,5.949677582E0,-0.000000000E0
1.881087167E0,1.056652679E0,6.395151215E0,-2.962339783E-1
1.891097167E0,7.589218140E-1,6.855743408E0,-1.355880432E0
1.901107167E0,6.988966370E-1,7.037914581E0,-2.543510742E0
1.911117167E0,5.083428955E-1,7.157964935E0,-3.361260223E0
1.921127167E0,1.300794983E-1,7.115752716E0,-3.660338287E0
1.931137167E0,-1.251397705E-1,7.179669800E0,-3.460503845E0
1.941147167E0,-2.990780640E-1,7.449408875E0,-3.238066406E0
1.951157167E0,-5.420228577E-1,7.482490082E0,-3.077899475E0
1.961167167E0,-2.845582581E-1,7.640112305E0,-3.007545776E0
1.971177167E0,1.791773987E-1,7.813601532E0,-3.162772980E0
1.981187167E0,5.063969421E-1,7.813302155E0,-2.946173401E0
1.991197167E0,5.071453857E-1,7.556735687E0,-2.668800201E0
2.001206167E0,6.896159363E-1,7.366331635E0,-2.455942841E0
2.011216167E0,3.347039795E-1,7.213349762E0,-2.012564850E0
2.021226167E0,-8.583151245E-1,6.844666443E0,-1.629511414E0
2.031236167E0,-1.900298309E0,6.736740875E0,-1.600172424E0
2.041246167E0,-2.553988953E0,6.805747375E0,-2.065105591E0
2.051256167E0,-3.139571228E0,6.738537140E0,-2.778222656E0
2.061266167E0,-3.349883881E0,6.767127686E0,-3.418291626E0
2.071276167E0,-2.744093628E0,7.188501434E0,-3.901486816E0
2.081286167E0,-2.439177704E0,7.125183105E0,-3.745211792E0
2.091296167E0,-2.329904938E0,6.867868195E0,-3.316802673E0
2.101306167E0,-2.115850067E0,6.530170441E0,-2.786006470E0
2.111316167E0,-2.070793762E0,6.118526459E0,-2.074985046E0
2.121326167E0,-2.133812714E0,5.751190338E0,-1.218615875E0
2.131336167E0,-1.868713989E0,6.086942139E0,-4.659809875E-1
2.141346167E0,-1.493144989E0,6.187383270E0,-9.086105347E-2
2.151356167E0,-1.159189453E0,5.781876526E0,-4.170327759E-1
2.161366167E0,-2.598596191E-1,6.269712067E0,-1.418001251E0
2.171376167E0,-2.694396973E-2,5.895639954E0,-2.194586334E0
2.181386167E0,-3.034190369E-1,5.477709045E0,-2.509232025E0
2.191395167E0,-8.840615845E-1,5.217699738E0,-2.358495483E0
2.201405167E0,-1.768123169E0,4.950355682E0,-1.829495544E0
2.211415167E0,-2.436183929E0,5.267995148E0,-1.227597198E0
2.221425167E0,-2.768792267E0,6.020779724E0,-6.030958557E-1
2.231435167E0,-2.924468536E0,6.218368835E0,-7.911048889E-1
2.241445167E0,-2.518961792E0,6.309229889E0,-1.790875854E0
2.251455042E0,-2.278262329E0,5.761369171E0,-3.000959473E0
2.261465042E0,-1.349144440E0,5.773943024E0,-3.628753967E0
2.271475042E0,-4.055067444E-1,5.718109131E0,-3.516637115E0
2.281485042E0,4.026626587E-1,6.002068634E0,-2.499053192E0
2.291495042E0,2.674937439E-1,6.319558411E0,-5.948629761E-1
2.301505042E0,-3.811074829E-1,6.563700714E0,5.620811462E-1
2.311515042E0,-4.282594299E-1,7.348368988E0,5.809419250E-1
2.321525042E0,-1.246607666E0,7.494914246E0,-1.755848694E-1
2.331535042E0,-1.935475159E0,7.915389862E0,-1.063538361E0
2.341545042E0,-2.639161835E0,8.140821075E0,-1.689087524E0
2.351555042E0,-3.450923767E0,8.245752869E0,-2.392774200E0
2.361565042E0,-4.042343903E0,8.741821289E0,-2.840044098E0
2.371575042E0,-4.065994720E0,9.853709106E0,-2.789898376E0
2.381585042E0,-3.745660858E0,1.049826874E1,-2.401156769E0
2.391594042E0,-3.227887573E0,1.098894836E1,-1.665137329E0
2.401604042E0,-2.766696625E0,1.168260590E1,-5.875282288E-1
2.411614042E0,-2.773432617E0,1.224289078E1,4.848417664E-1
2.421624042E0,-2.723436584E0,1.269420227E1,1.288819885E0
2.431634042E0,-2.583477631E0,1.305450302E1,1.926942902E0
2.441644042E0,-1.898651733E0,1.376492569E1,2.008672943E0
2.451654042E0,-8.451425171E-1,1.470362366E1,2.317929840E0
2.461664042E0,-3.020718384E-1,1.514789978E1,2.329306183E0
2.471674042E0,-3.742218018E-2,1.558439209E1,2.548899536E0
2.481684042E0,2.020797729E-2,1.588811050E1,3.145259399E0
2.491694042E0,-9.430389404E-3,1.583377350E1,3.433260498E0
