"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.082879000E0,-2.823892685E1,2.141806091E1,3.076103210E-1
1.092889000E0,-2.152853119E1,6.684649200E0,1.930984497E0
1.102898000E0,-8.935967560E0,-9.082213440E0,2.081870728E0
1.112908000E0,7.365283813E0,-2.532658310E1,1.413660278E0
1.122918000E0,2.762984344E1,-3.531680832E1,3.727548523E0
1.132928000E0,4.482428741E1,-3.715797958E1,1.154803574E1
1.142938000E0,5.013269852E1,-3.570285553E1,1.539428741E1
1.152947000E0,4.606655411E1,-3.401586365E1,9.501491547E0
1.162957000E0,3.495306473E1,-3.187396774E1,2.943778381E0
1.172967000E0,1.699011887E1,-2.871867920E1,1.490600281E0
1.182977000E0,-4.864883423E-2,-1.950758377E1,3.786675568E0
1.192987000E0,-1.326571381E1,-5.569318542E0,3.575464783E0
1.202996000E0,-2.539903244E1,8.317304077E0,1.038390656E0
1.213006000E0,-3.494602936E1,2.052277267E1,5.719606018E-1
1.223016000E0,-4.028183350E1,3.010389862E1,2.663561096E0
1.233026000E0,-4.060396362E1,3.626448761E1,4.423002319E0
1.243036000E0,-3.722758484E1,3.679423599E1,3.777993622E0
1.253046000E0,-3.127506317E1,3.316173981E1,2.263143768E0
1.263055000E0,-2.600048172E1,2.573268860E1,2.285297699E0
1.273065000E0,-2.078787140E1,1.390383682E1,3.482657776E0
1.283075000E0,-1.275288025E1,-6.432124329E-1,3.976630554E0
1.293085000E0,-5.783972168E-1,-1.749651581E1,4.065695343E0
1.303095000E0,1.791714111E1,-3.097763168E1,6.949897614E0
1.313104000E0,3.777155365E1,-3.704631180E1,1.304177948E1
1.323114000E0,5.100433594E1,-3.577066452E1,1.667352722E1
1.333124000E0,4.932378067E1,-3.451941650E1,1.437535629E1
1.343134000E0,3.752935730E1,-3.287239151E1,9.040599976E0
1.353144000E0,1.780771866E1,-2.951292755E1,8.517737274E0
1.363154000E0,6.087840271E-1,-1.960667770E1,8.880433044E0
1.373163000E0,-1.250933670E1,-6.389163666E0,7.625742188E0
1.383173000E0,-2.572744949E1,7.234904938E0,4.257596283E0
1.393183000E0,-3.795477264E1,1.944591202E1,1.030157776E0
1.403193000E0,-4.419200226E1,3.030552933E1,5.695655823E-1
1.413203000E0,-4.359324738E1,3.618230850E1,2.175725555E0
1.423212000E0,-3.832674911E1,3.597229523E1,3.243155823E0
1.433222000E0,-3.105427231E1,3.125964523E1,2.637964325E0
1.443232000E0,-2.468905884E1,2.337464218E1,2.185754700E0
